seed,coverage,success,steps,steps_to_threshold,collisions,redundant_moves,energy_consumed,messages_emitted,messages_received,messages_lost,communication_bytes,policy,channel,profile
3101,0.5552763819095478,False,200,,103,250,539.9999999999999,0,0,0,0,random,none,benchmark_v5
3102,0.7058823529411765,False,200,,69,273,538.7999999999993,0,0,0,0,random,none,benchmark_v5
3103,0.48484848484848486,False,200,,78,263,526.2999999999995,0,0,0,0,random,none,benchmark_v5
3104,0.5166240409207161,False,200,,95,218,525.3999999999992,0,0,0,0,random,none,benchmark_v5
3105,0.6591478696741855,False,200,,84,253,539.5999999999997,0,0,0,0,random,none,benchmark_v5
3106,0.4577114427860697,False,196,,105,261,539.9999999999998,0,0,0,0,random,none,benchmark_v5
3107,0.547911547911548,False,197,,79,278,539.9999999999999,0,0,0,0,random,none,benchmark_v5
3108,0.4513715710723192,False,200,,118,254,532.8999999999993,0,0,0,0,random,none,benchmark_v5
3109,0.599483204134367,False,197,,109,206,539.9999999999993,0,0,0,0,random,none,benchmark_v5
3110,0.714987714987715,False,200,,93,246,539.9999999999997,0,0,0,0,random,none,benchmark_v5
3111,0.6205128205128205,False,197,,99,250,539.9999999999994,0,0,0,0,random,none,benchmark_v5
3112,0.49507389162561577,False,200,,107,233,532.4999999999992,0,0,0,0,random,none,benchmark_v5
3113,0.47117794486215536,False,196,,118,275,539.9999999999998,0,0,0,0,random,none,benchmark_v5
3114,0.39753086419753086,False,197,,96,290,539.9999999999998,0,0,0,0,random,none,benchmark_v5
3115,0.3979591836734694,False,200,,118,249,534.0999999999996,0,0,0,0,random,none,benchmark_v5
3116,0.7686567164179104,False,200,,63,277,534.6999999999994,0,0,0,0,random,none,benchmark_v5
3117,0.5561224489795918,False,200,,92,251,535.4999999999998,0,0,0,0,random,none,benchmark_v5
3118,0.7411167512690355,False,200,,91,235,539.9999999999995,0,0,0,0,random,none,benchmark_v5
3119,0.6024390243902439,False,200,,104,239,536.1999999999991,0,0,0,0,random,none,benchmark_v5
3120,0.5511221945137157,False,200,,98,280,535.2999999999997,0,0,0,0,random,none,benchmark_v5
3121,0.6475,False,197,,91,241,539.9999999999994,0,0,0,0,random,none,benchmark_v5
3122,0.5223880597014925,False,200,,111,254,535.7999999999993,0,0,0,0,random,none,benchmark_v5
3123,0.6172839506172839,False,200,,64,274,535.0999999999995,0,0,0,0,random,none,benchmark_v5
3124,0.5620437956204379,False,200,,71,275,530.8999999999993,0,0,0,0,random,none,benchmark_v5
3125,0.6269035532994924,False,200,,109,220,528.1999999999996,0,0,0,0,random,none,benchmark_v5
3126,0.5178571428571429,False,200,,85,250,537.3999999999993,0,0,0,0,random,none,benchmark_v5
3127,0.705,False,197,,91,250,539.9999999999998,0,0,0,0,random,none,benchmark_v5
3128,0.7309644670050761,False,197,,115,217,539.9999999999998,0,0,0,0,random,none,benchmark_v5
3129,0.6365853658536585,False,200,,123,217,531.4999999999994,0,0,0,0,random,none,benchmark_v5
3130,0.5620253164556962,False,200,,88,265,538.2999999999998,0,0,0,0,random,none,benchmark_v5
3101,0.9120603015075377,True,131,131,188,14,487.0,0,0,0,0,frontier,none,benchmark_v5
3102,0.6495098039215687,False,139,,277,1,540.0,0,0,0,0,frontier,none,benchmark_v5
3103,0.9090909090909091,True,69,69,0,11,207.0,0,0,0,0,frontier,none,benchmark_v5
3104,0.9053708439897699,True,110,110,42,18,351.0,0,0,0,0,frontier,none,benchmark_v5
3105,0.9022556390977443,True,52,52,0,3,156.0,0,0,0,0,frontier,none,benchmark_v5
3106,0.900497512437811,True,120,120,44,29,382.0,0,0,0,0,frontier,none,benchmark_v5
3107,0.538083538083538,False,144,,304,4,540.0,0,0,0,0,frontier,none,benchmark_v5
3108,0.9027431421446384,True,57,57,0,8,171.0,0,0,0,0,frontier,none,benchmark_v5
3109,0.9018087855297158,True,89,89,94,8,314.0,0,0,0,0,frontier,none,benchmark_v5
3110,0.9041769041769042,True,112,112,116,13,394.0,0,0,0,0,frontier,none,benchmark_v5
3111,0.9,True,52,52,0,7,156.0,0,0,0,0,frontier,none,benchmark_v5
3112,0.8275862068965517,False,147,,285,8,540.0,0,0,0,0,frontier,none,benchmark_v5
3113,0.9047619047619048,True,126,126,88,8,422.0,0,0,0,0,frontier,none,benchmark_v5
3114,0.4345679012345679,False,133,,330,1,540.0,0,0,0,0,frontier,none,benchmark_v5
3115,0.9056122448979592,True,53,53,0,5,159.0,0,0,0,0,frontier,none,benchmark_v5
3116,0.900497512437811,True,94,94,36,4,300.0,0,0,0,0,frontier,none,benchmark_v5
3117,0.9005102040816326,True,46,46,18,5,147.0,0,0,0,0,frontier,none,benchmark_v5
3118,0.9035532994923858,True,94,94,0,10,282.0,0,0,0,0,frontier,none,benchmark_v5
3119,0.9,True,77,77,0,3,231.0,0,0,0,0,frontier,none,benchmark_v5
3120,0.6658354114713217,False,134,,304,0,540.0,0,0,0,0,frontier,none,benchmark_v5
3121,0.8575,False,147,,258,2,540.0,0,0,0,0,frontier,none,benchmark_v5
3122,0.9029850746268657,True,81,81,0,9,243.0,0,0,0,0,frontier,none,benchmark_v5
3123,0.762962962962963,False,152,,292,2,540.0,0,0,0,0,frontier,none,benchmark_v5
3124,0.902676399026764,True,131,131,70,30,428.0,0,0,0,0,frontier,none,benchmark_v5
3125,0.9035532994923858,True,51,51,0,10,153.0,0,0,0,0,frontier,none,benchmark_v5
3126,0.8647959183673469,False,159,,135,17,540.0,0,0,0,0,frontier,none,benchmark_v5
3127,0.9025,True,92,92,0,17,276.0,0,0,0,0,frontier,none,benchmark_v5
3128,0.9086294416243654,True,114,114,110,12,397.0,0,0,0,0,frontier,none,benchmark_v5
3129,0.9073170731707317,True,104,104,180,3,402.0,0,0,0,0,frontier,none,benchmark_v5
3130,0.5316455696202531,False,139,,298,3,540.0,0,0,0,0,frontier,none,benchmark_v5
3101,0.7989949748743719,False,186,,18,304,539.9999999999999,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3102,0.9019607843137255,True,122,122,0,146,359.59999999999997,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3103,0.851010101010101,False,187,,6,298,539.9999999999999,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3104,0.649616368286445,False,200,,110,210,516.4999999999993,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3105,0.9022556390977443,True,147,147,6,219,417.5999999999996,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3106,0.7437810945273632,False,183,,56,282,539.9999999999998,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3107,0.8304668304668305,False,184,,0,312,540.0,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3108,0.9002493765586035,True,171,171,9,254,495.0999999999997,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3109,0.9043927648578811,True,109,109,0,155,318.99999999999994,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3110,0.8329238329238329,False,194,,14,284,539.9999999999999,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3111,0.6256410256410256,False,187,,13,337,540.0,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3112,0.9039408866995073,True,184,184,0,275,535.2,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3113,0.9022556390977443,True,120,120,0,149,335.9999999999998,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3114,0.7654320987654321,False,187,,0,315,540.0,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3115,0.8877551020408163,False,181,,0,251,539.9999999999999,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3116,0.900497512437811,True,153,153,8,224,430.99999999999955,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3117,0.9030612244897959,True,131,131,12,180,395.0,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3118,0.8451776649746193,False,184,,84,199,539.9999999999998,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3119,0.9,True,91,91,0,99,268.2,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3120,0.800498753117207,False,200,,10,341,539.2,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3121,0.7775,False,182,,38,280,539.9999999999999,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3122,0.900497512437811,True,143,143,98,127,451.5999999999997,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3123,0.8296296296296296,False,200,,2,278,507.9999999999993,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3124,0.9002433090024331,True,83,83,0,68,246.59999999999997,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3125,0.9111675126903553,True,157,157,0,250,465.4,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3126,0.875,False,184,,4,271,539.9999999999999,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3127,0.9025,True,74,74,0,59,218.79999999999995,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3128,0.9010152284263959,True,90,90,0,108,266.79999999999995,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3129,0.9048780487804878,True,75,75,0,57,221.79999999999995,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
3130,0.8253164556962025,False,185,,4,342,540.0000000000001,0,0,0,0,ppo_masked_stochastic,none,benchmark_v5
